ITEM_NAME,ITEM_TYPE,ITEM_PRESENTATION_TYPE,ITEM_SECTION,ITEM_PARENT_ID,ITEM_STEM,ITEM_MEMBER,SCALE_OPTIONS,SurveyAdminYear2023,QuestionText.2023,SurveyAdminYear2021,QuestionText.2021,SurveyAdminYear2022,QuestionText.2022,SurveyAdminYear2024,QuestionText.2024
StartDate,metadata,NA,NA,NA,NA,NA,NA,2023,Start Date,2021,Start Date,2022,Start Date,2024,Start Date
EndDate,metadata,NA,NA,NA,NA,NA,NA,2023,End Date,2021,End Date,2022,End Date,2024,End Date
Progress,metadata,NA,NA,NA,NA,NA,NA,2023,Progress,2021,Progress,2022,Progress,2024,Progress
Duration (in seconds),metadata,NA,NA,NA,NA,NA,NA,2023,Duration (in seconds),2021,Duration (in seconds),2022,Duration (in seconds),2024,Duration (in seconds)
Finished,metadata,NA,NA,NA,NA,NA,NA,2023,Finished,2021,Finished,2022,Finished,2024,Finished
RecordedDate,metadata,NA,NA,NA,NA,NA,NA,2023,Recorded Date,2021,Recorded Date,2022,Recorded Date,2024,Recorded Date
ResponseId,metadata,NA,NA,NA,NA,NA,NA,2023,Response ID,2021,Response ID,2022,Response ID,2024,Response ID
CONSENT,Single Select,NA,NA,NA,NA,NA,NA,2023,"CONSENT TO PARTICIPATE



By selecting ""Agree,"" I am providing consent to this survey research effort, as described above.

I understand and will participate.",2021,"CONSENT TO PARTICIPATE



By selecting ""Agree,"" I am providing consent to this survey research effort, as described above.



I understand and will participate.",NA,NA,2024,"CONSENT TO PARTICIPATE



By selecting ""Agree,"" I am providing consent to this survey research effort, as described above.

I understand and will participate."
PRG_STATUS_CSW,Ratio Scale,matrix,"Background & Quality of Program, Faculty, & Curriculum",1,Have you completed the following aspects of your graduate program?,I have completed all required coursework for my program,yesno1,2023,Have you completed the following aspects of your graduate program? - I have completed all required coursework for my program,2021,Have you completed the following aspects of your graduate program? - I have completed all required coursework for my program,2022,"Have you completed the following aspects of your graduate program?  (Again, please answer in terms of your PhD program if you are enrolled in both a PhD and a Master's or other Berkeley program.) - I have completed all required coursework for my program",2024,Have you completed the following aspects of your graduate program? - I have completed all required coursework for my program
PRG_STATUS_LAB,Ratio Scale,matrix,"Background & Quality of Program, Faculty, & Curriculum",1,Have you completed the following aspects of your graduate program?,I have completed my lab rotations,yesno1,2023,Have you completed the following aspects of your graduate program? - I have completed my lab rotations,2021,Have you completed the following aspects of your graduate program? - I have completed my lab rotations,2022,"Have you completed the following aspects of your graduate program?  (Again, please answer in terms of your PhD program if you are enrolled in both a PhD and a Master's or other Berkeley program.) - I have completed my lab rotations",2024,Have you completed the following aspects of your graduate program? - I have completed my lab rotations
PRG_STATUS_CMP,Ratio Scale,matrix,"Background & Quality of Program, Faculty, & Curriculum",1,Have you completed the following aspects of your graduate program?,I have passed my qualifying/comprehensive exams/paper,yesno1,2023,Have you completed the following aspects of your graduate program? - I have passed my qualifying/comprehensive exams/paper,2021,Have you completed the following aspects of your graduate program? - I have passed my qualifying/comprehensive exams/paper,2022,"Have you completed the following aspects of your graduate program?  (Again, please answer in terms of your PhD program if you are enrolled in both a PhD and a Master's or other Berkeley program.) - I have passed my qualifying/comprehensive exams/paper",2024,Have you completed the following aspects of your graduate program? - I have passed my qualifying/comprehensive exams/paper
PRG_STATUS_DTP,Ratio Scale,matrix,"Background & Quality of Program, Faculty, & Curriculum",1,Have you completed the following aspects of your graduate program?,I have had my dissertation/thesis proposal accepted by a committee,yesno1,2023,Have you completed the following aspects of your graduate program? - I have had my dissertation/thesis proposal accepted by a committee,2021,Have you completed the following aspects of your graduate program? - I have had my dissertation/thesis proposal accepted by a committee,2022,"Have you completed the following aspects of your graduate program?  (Again, please answer in terms of your PhD program if you are enrolled in both a PhD and a Master's or other Berkeley program.) - I have had my dissertation/thesis proposal accepted by a committee",2024,Have you completed the following aspects of your graduate program? - I have had my dissertation/thesis proposal accepted by a committee
PRG_STATUS_DDT,Ratio Scale,matrix,"Background & Quality of Program, Faculty, & Curriculum",1,Have you completed the following aspects of your graduate program?,I have defended (completed) my dissertation/thesis/MA project,yesno1,2023,Have you completed the following aspects of your graduate program? - I have defended/completed my dissertation/thesis/MA project,2021,Have you completed the following aspects of your graduate program? - I have defended (completed) my dissertation/thesis/MA project,2022,"Have you completed the following aspects of your graduate program?  (Again, please answer in terms of your PhD program if you are enrolled in both a PhD and a Master's or other Berkeley program.) - I have defended (completed) my dissertation/thesis/MA project",2024,Have you completed the following aspects of your graduate program? - I have defended/completed my dissertation/thesis/MA project
PRG_PLAN_GRD,Single Select,standalone,"Background & Quality of Program, Faculty, & Curriculum",NA,When do you plan to graduate?,NA,NA,2023,When do you plan to graduate?,2021,When do you plan to graduate?,2022,When do you plan to graduate?,2024,When do you plan to graduate?
UNV_SAT_ACA,Interval Scale,matrix,"Background & Quality of Program, Faculty, & Curriculum",2,How satisfied are you with the following aspects of your university experience/education?,Overall academic experience,satisfaction3,2023,How satisfied are you with the following aspects of your university experience/education? - Overall academic experience,NA,NA,NA,NA,NA,NA
UNV_SAT_SOC,Interval Scale,matrix,"Background & Quality of Program, Faculty, & Curriculum",2,How satisfied are you with the following aspects of your university experience/education?,Overall social experience,satisfaction3,2023,How satisfied are you with the following aspects of your university experience/education? - Overall social experience,NA,NA,NA,NA,NA,NA
UNV_SAT_RSH,Interval Scale,matrix,"Background & Quality of Program, Faculty, & Curriculum",2,How satisfied are you with the following aspects of your university experience/education?,Overall research experience,satisfaction3,2023,How satisfied are you with the following aspects of your university experience/education? - Overall research experience,NA,NA,NA,NA,NA,NA
UNV_SAT_VAL,Interval Scale,matrix,"Background & Quality of Program, Faculty, & Curriculum",2,How satisfied are you with the following aspects of your university experience/education?,Overall value of your education,satisfaction3,2023,How satisfied are you with the following aspects of your university experience/education? - Overall value of your education,NA,NA,NA,NA,NA,NA
PRG_QUAL_TEA,Interval Scale,matrix,"Background & Quality of Program, Faculty, & Curriculum",3,Please rate the following aspects of your program.,Quality of teaching in your program,quality1,2023,Please rate the following aspects of your program. - Quality of teaching in your program,2021,Please rate the following aspects of your program. - Quality of teaching in your program,2022,Please rate the following aspects of your program. - Quality of teaching in your program,2024,Please rate the following aspects of your program. - Quality of teaching in your program
PRG_QUAL_TAS,Interval Scale,matrix,"Background & Quality of Program, Faculty, & Curriculum",3,Please rate the following aspects of your program.,Quality of teaching in your area of specialization,quality1,2023,Please rate the following aspects of your program. - Quality of teaching in your area of specialization,2021,Please rate the following aspects of your program. - Quality of teaching in your area of specialization,2022,Please rate the following aspects of your program. - Quality of teaching in your area of specialization,2024,Please rate the following aspects of your program. - Quality of teaching in your area of specialization
PRG_QUAL_DFR,Interval Scale,matrix,"Background & Quality of Program, Faculty, & Curriculum",3,Please rate the following aspects of your program.,Diversity of faculty's research interests,quality1,2023,Please rate the following aspects of your program. - Diversity of faculty's research interests,2021,Please rate the following aspects of your program. - Diversity of faculty's research interests,2022,Please rate the following aspects of your program. - Diversity of faculty's research interests,2024,Please rate the following aspects of your program. - Diversity of faculty's research interests
PRG_QUAL_COL,Interval Scale,matrix,"Background & Quality of Program, Faculty, & Curriculum",3,Please rate the following aspects of your program.,Opportunities to work collaboratively with faculty on research,quality1,2023,Please rate the following aspects of your program. - Opportunities to work collaboratively with faculty on research,2021,Please rate the following aspects of your program. - Opportunities to work collaboratively with faculty on research,2022,Please rate the following aspects of your program. - Opportunities to work collaboratively with faculty on research,2024,Please rate the following aspects of your program. - Opportunities to work collaboratively with faculty on research
PRG_QUAL_FMR,Interval Scale,matrix,"Background & Quality of Program, Faculty, & Curriculum",3,Please rate the following aspects of your program.,Opportunities to form research/academic mentorship relationships with faculty members,quality1,2023,Please rate the following aspects of your program. - Opportunities to form research/academic mentorship relationships with faculty members,2021,Please rate the following aspects of your program. - Opportunities to form research/academic mentorship relationships with faculty members,2022,Please rate the following aspects of your program. - Opportunities to form research/academic mentorship relationships with faculty members,2024,Please rate the following aspects of your program. - Opportunities to form research/academic mentorship relationships with faculty members
PRG_QUAL_NRM,Interval Scale,matrix,"Background & Quality of Program, Faculty, & Curriculum",3,Please rate the following aspects of your program.,Opportunities to form non-research/academic mentorship relationships with faculty members in your program,quality1,2023,Please rate the following aspects of your program. - Opportunities to form non-research/academic mentorship relationships with faculty members,2021,Please rate the following aspects of your program. - Opportunities to form non-research/academic mentorship relationships with faculty members in your program,2022,Please rate the following aspects of your program. - Opportunities to form non-research/academic mentorship relationships with faculty members in your program,2024,Please rate the following aspects of your program. - Opportunities to form non-research/academic mentorship relationships with faculty members
PRG_QUAL_RMO,Interval Scale,matrix,"Background & Quality of Program, Faculty, & Curriculum",3,Please rate the following aspects of your program.,Opportunities to work with faculty whose research interests match your own,quality1,2023,Please rate the following aspects of your program. - Opportunities to work with faculty whose research interests match your own,2021,Please rate the following aspects of your program. - Opportunities to work with faculty whose research interests match your own,2022,Please rate the following aspects of your program. - Opportunities to work with faculty whose research interests match your own,2024,Please rate the following aspects of your program. - Opportunities to work with faculty whose research interests match your own
PRG_QUAL_FIA,Interval Scale,matrix,"Background & Quality of Program, Faculty, & Curriculum",3,Please rate the following aspects of your program.,Amount of faculty involvement in program activities and events,quality1,2023,Please rate the following aspects of your program. - Amount of faculty involvement in program activities and events,2021,Please rate the following aspects of your program. - Amount of faculty involvement in program activities and events,2022,Please rate the following aspects of your program. - Amount of faculty involvement in program activities and events,2024,Please rate the following aspects of your program. - Amount of faculty involvement in program activities and events
